,DDEC,EQeq,Qeq
672,-0.583909,-0.54200,-0.467821
673,-0.568165,-0.56900,-0.467821
674,-0.571538,-0.56800,-0.467821
675,-0.591624,-0.37200,-0.467821
676,-0.588013,-0.55000,-0.467821
677,-0.571004,-0.56800,-0.467821
678,-0.591858,-0.37200,-0.467821
679,-0.588805,-0.55000,-0.467821
680,-0.571434,-0.56700,-0.467821
681,-0.591461,-0.37200,-0.467821
682,-0.588461,-0.55000,-0.467821
683,-0.571538,-0.56800,-0.467821
684,-0.591624,-0.37200,-0.467821
685,-0.588014,-0.55000,-0.467821
686,-0.571004,-0.56800,-0.400984
687,-0.591858,-0.37200,-0.400984
688,-0.588807,-0.55000,-0.400984
689,-0.571434,-0.56700,-0.400984
690,-0.585969,-0.56400,-0.400984
691,-0.625813,-0.38100,-0.400984
692,-0.591403,-0.55900,-0.400984
693,-0.586346,-0.56300,-0.400984
